Time,USB Status,CPU Temperature,Throttle Status,CPU Frequency,Core Frequency,CPU Voltage,Memory Controller Voltage,Memory I/O Voltage,Memory Chip Voltage
0.0,1,55.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
0.107,1,56.0,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
0.183,1,55.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
0.260,1,55.5,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
0.336,1,55.5,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
0.413,1,56.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
0.488,1,56.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
0.565,1,55.5,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
0.641,1,56.0,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
0.717,1,55.5,0,1100249984,324883296,0.8600,1.1000,1.1000,1.1000
0.823,1,55.0,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
0.903,1,56.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
0.979,1,55.5,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.55,1,55.5,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.131,1,55.0,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
1.207,1,55.5,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.286,1,55.5,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
1.363,1,55.5,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000
1.440,1,56.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.515,1,57.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.591,1,57.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.667,1,56.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.743,1,56.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
1.819,1,57.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.895,1,56.0,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
1.971,1,56.4,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
2.47,1,56.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
2.123,1,56.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
2.199,1,56.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
2.276,1,56.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
2.352,1,57.4,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
2.429,1,57.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
