Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (Mb)
0.0,1,51.1,28.6%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7463.6,5.5
0.77,1,52.1,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7465.0,5.5
0.154,1,52.1,30.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7463.8,5.5
0.232,1,51.6,31.2%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7463.0,5.5
0.310,1,51.6,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7462.5,5.5
0.387,1,52.1,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7461.1,5.5
0.465,1,51.6,35.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7460.7,5.5
0.543,1,52.1,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7459.1,5.6
0.620,1,51.6,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7458.3,5.6
0.698,1,52.1,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.7,5.6
0.775,1,51.6,33.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.5,5.6
0.852,1,52.1,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.3,5.6
0.931,1,52.1,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.4,5.6
1.8,1,51.6,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.9,5.6
1.86,1,52.5,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7455.0,5.6
1.164,1,52.5,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.8,5.6
1.242,1,51.6,35.3%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7455.1,5.6
1.320,1,53.0,25.8%,50000,1100302720,324870112,0.8500,1.1000,1.1000,1.1000,7898.4,7455.9,5.6
1.423,1,52.1,26.7%,50000,1200339840,349721184,0.8500,1.1000,1.1000,1.1000,7898.4,7455.9,5.6
1.533,1,51.6,30.2%,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7898.4,7455.9,5.6
1.642,1,51.6,28.9%,50000,1100302720,324870112,0.8500,1.1000,1.1000,1.1000,7898.4,7456.8,5.6
1.757,1,51.6,30.8%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.8,5.6
1.835,1,51.1,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.8,5.6
1.914,1,51.6,30.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.8,5.6
1.991,1,51.6,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.8,5.6
2.68,1,51.6,33.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.8,5.6
2.146,1,51.6,30.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.8,5.6
2.225,1,52.1,28.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.8,5.6
2.302,1,52.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.8,5.6
2.379,1,52.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.8,5.6
2.461,1,52.5,22.2%,50000,1100249984,324870112,0.8500,1.1000,1.1000,1.1000,7898.4,7456.8,5.6
2.571,1,51.6,31.6%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.8,5.6
2.649,1,52.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.4,5.6
2.728,1,52.5,24.1%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.6,5.6
2.806,1,53.5,28.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7457.3,5.6
2.884,1,53.5,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7458.3,5.6
2.963,1,51.6,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7458.5,5.6
3.40,1,53.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7458.3,5.6
3.117,1,53.5,26.7%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7458.9,5.6
3.195,1,53.0,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7459.1,5.6
3.277,1,53.0,29.3%,50000,1000212864,299768544,0.9160,1.1000,1.1000,1.1000,7898.4,7458.7,5.6
3.390,1,53.0,25.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7455.9,5.6
3.469,1,52.5,31.2%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7454.0,5.6
3.547,1,52.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.2,5.6
3.624,1,53.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.3,5.6
3.702,1,52.5,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.6,5.6
3.779,1,53.5,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.6,5.6
3.857,1,54.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.4,5.6
3.934,1,52.5,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.8,5.6
4.12,1,53.0,29.0%,50000,1800457088,500000992,0.8500,1.1000,1.1000,1.1000,7898.4,7453.0,5.6
4.100,1,53.0,25.0%,50000,1100249984,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7452.7,5.6
4.202,1,53.5,30.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.1,5.6
4.280,1,53.0,28.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.9,5.6
