Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,51.6,100.0%,50005,600117184,199995120,0.8500,1.1000,1.1000,1.1000,7097.5,10.1%
0.383,1,51.6,100.0%,50005,600117184,199995120,0.8500,1.1000,1.1000,1.1000,7013.4,11.2%
0.762,1,50.6,100.0%,50005,600117184,200008304,0.8500,1.1000,1.1000,1.1000,6955.5,11.9%
1.71,1,52.1,100.0%,50005,600169920,200008304,0.8500,1.1000,1.1000,1.1000,6897.5,12.7%
1.383,1,50.6,100.0%,50005,600169920,200008304,0.8500,1.1000,1.1000,1.1000,6824.0,13.6%
1.723,1,50.6,100.0%,50005,600169920,200008304,0.8500,1.1000,1.1000,1.1000,6730.2,14.8%
2.102,1,50.1,100.0%,50005,600169920,199995120,0.8500,1.1000,1.1000,1.1000,6638.0,16.0%
2.433,1,51.1,100.0%,50005,600117184,200008304,0.8500,1.1000,1.1000,1.1000,6683.7,15.4%
2.773,1,52.5,100.0%,50005,600169920,199995120,0.8500,1.1000,1.1000,1.1000,6721.8,14.9%
3.162,1,51.1,100.0%,50005,600117184,199995120,0.8500,1.1000,1.1000,1.1000,6938.9,12.1%
3.482,1,51.1,98.4%,50005,600169920,199995120,0.8500,1.1000,1.1000,1.1000,7379.6,6.6%
3.823,1,52.1,100.0%,50005,600117184,200008304,0.8500,1.1000,1.1000,1.1000,7320.8,7.3%
4.127,1,51.6,100.0%,50005,600169920,199995120,0.8500,1.1000,1.1000,1.1000,7258.8,8.1%
4.451,1,51.6,100.0%,50005,600169920,199995120,0.8500,1.1000,1.1000,1.1000,7167.4,9.3%
4.802,1,51.1,100.0%,50005,600117184,199995120,0.8500,1.1000,1.1000,1.1000,7067.9,10.5%
5.242,1,51.6,100.0%,50005,600169920,200008304,0.8500,1.1000,1.1000,1.1000,6997.7,11.4%
