Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,48.7,28.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7451.2,5.7%
0.175,1,48.7,14.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7448.8,5.7%
0.352,1,48.7,12.9%,0,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7448.1,5.7%
0.526,1,49.1,11.8%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7448.2,5.7%
0.702,1,48.7,17.6%,0,700154304,500000992,0.9160,1.1000,1.1000,1.1000,7448.5,5.7%
0.934,1,48.7,17.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7448.8,5.7%
1.110,1,49.6,15.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7448.7,5.7%
1.286,1,50.1,13.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7448.4,5.7%
1.462,1,48.7,16.4%,0,1800404352,250000496,0.8500,1.1000,1.1000,1.1000,7448.5,5.7%
1.667,1,49.1,17.0%,0,1000265600,299768544,0.8500,1.1000,1.1000,1.1000,7448.6,5.7%
1.889,1,48.7,21.1%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7448.6,5.7%
2.129,1,49.1,18.6%,0,1200287104,349734368,0.8500,1.1000,1.1000,1.1000,7448.6,5.7%
2.361,1,49.1,15.5%,0,1000265600,299768544,0.8500,1.1000,1.1000,1.1000,7449.3,5.7%
2.580,1,49.1,18.0%,0,900228544,274680160,0.8500,1.1000,1.1000,1.1000,7448.8,5.7%
2.812,1,48.7,19.0%,0,700207040,500000992,0.9160,1.1000,1.1000,1.1000,7448.8,5.7%
3.46,1,48.7,15.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7448.5,5.7%
3.221,1,48.7,13.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7448.4,5.7%
3.396,1,49.1,15.5%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7448.8,5.7%
3.572,1,48.7,15.3%,0,1800457088,250000496,0.8500,1.1000,1.1000,1.1000,7448.6,5.7%
3.776,1,49.6,13.8%,0,1000265600,299755360,0.8500,1.1000,1.1000,1.1000,7449.7,5.7%
