Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,50.6,12.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7245.3,8.3%
0.596,1,53.5,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6714.3,15.0%
1.386,1,54.5,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7197.9,8.9%
2.156,1,56.9,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6828.3,13.5%
2.966,1,57.4,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7221.4,8.6%
3.806,1,56.9,100.0%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,6894.1,12.7%
4.576,1,58.9,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6816.8,13.7%
5.175,1,58.4,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7223.4,8.5%
5.916,1,59.9,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7005.2,11.3%
6.726,1,59.9,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7011.4,11.2%
7.546,1,61.3,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7063.6,10.6%
8.326,1,60.8,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6970.0,11.8%
9.186,1,61.8,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7101.9,10.1%
9.986,1,62.3,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6869.9,13.0%
10.678,1,62.3,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6929.8,12.3%
11.308,1,61.8,100.0%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7168.9,9.2%
12.48,1,62.8,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7027.2,11.0%
12.816,1,62.8,100.0%,0,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,6898.0,12.7%
13.546,1,63.3,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6978.1,11.7%
14.346,1,62.8,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7043.9,10.8%
15.116,1,62.8,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7074.8,10.4%
15.986,1,63.7,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6891.3,12.7%
16.756,1,63.7,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6901.3,12.6%
17.586,1,63.7,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7128.6,9.7%
18.395,1,64.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7132.1,9.7%
19.106,1,63.3,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6919.7,12.4%
19.885,1,65.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7022.9,11.1%
20.676,1,64.7,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6998.0,11.4%
21.456,1,65.2,100.0%,0,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,6946.5,12.1%
22.88,1,64.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6830.9,13.5%
22.666,1,64.7,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6959.6,11.9%
23.436,1,65.7,100.0%,0,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,6870.6,13.0%
24.255,1,64.7,100.0%,0,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,6971.4,11.7%
25.66,1,64.7,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6648.0,15.8%
25.935,1,66.7,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7144.7,9.5%
26.726,1,66.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7054.5,10.7%
27.396,1,65.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6758.4,14.4%
28.156,1,66.2,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7016.2,11.2%
29.6,1,66.7,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6788.3,14.1%
29.776,1,66.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7186.8,9.0%
30.476,1,66.7,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6651.7,15.8%
31.276,1,66.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6968.6,11.8%
32.46,1,66.7,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7004.3,11.3%
32.826,1,67.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6724.0,14.9%
33.616,1,66.7,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7021.2,11.1%
34.456,1,66.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7074.9,10.4%
35.236,1,66.7,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7144.9,9.5%
36.15,1,67.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6924.4,12.3%
36.815,1,66.7,100.0%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7243.3,8.3%
37.596,1,66.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6881.3,12.9%
38.307,1,67.6,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7060.2,10.6%
38.985,1,66.7,100.0%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7131.7,9.7%
39.795,1,67.6,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7134.7,9.7%
40.536,1,67.2,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6768.7,14.3%
41.345,1,67.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6899.8,12.6%
42.86,1,68.1,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6957.8,11.9%
