Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,41.3,17.4%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7238.4,8.4%
0.595,1,44.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6737.7,14.7%
1.403,1,46.2,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7294.6,7.6%
2.202,1,47.2,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6939.9,12.1%
3.43,1,47.7,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7047.0,10.8%
3.882,1,48.2,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6751.0,14.5%
4.713,1,48.7,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6831.0,13.5%
5.492,1,50.6,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6908.2,12.5%
6.273,1,51.6,100.0%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,6886.3,12.8%
7.153,1,52.5,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6950.8,12.0%
7.932,1,52.5,100.0%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,7044.7,10.8%
8.642,1,53.5,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7009.6,11.3%
9.283,1,53.5,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6996.2,11.4%
9.943,1,53.0,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6956.3,11.9%
10.523,1,53.0,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7203.8,8.8%
11.333,1,54.5,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7101.8,10.1%
12.103,1,54.5,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6656.2,15.7%
12.852,1,55.0,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7300.4,7.6%
13.613,1,55.0,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6742.0,14.6%
14.452,1,56.4,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7006.2,11.3%
15.282,1,56.0,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6741.4,14.6%
16.143,1,55.5,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7049.9,10.7%
16.923,1,56.0,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6820.3,13.6%
17.702,1,56.9,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7179.7,9.1%
18.462,1,57.9,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6964.8,11.8%
19.233,1,56.4,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7132.9,9.7%
19.982,1,56.9,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6814.1,13.7%
20.783,1,56.9,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7005.0,11.3%
21.642,1,57.4,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7032.6,11.0%
22.433,1,57.9,100.0%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,7056.1,10.7%
23.252,1,57.9,100.0%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,7124.9,9.8%
24.12,1,57.9,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7177.3,9.1%
24.653,1,57.4,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6941.4,12.1%
25.293,1,58.4,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6722.9,14.9%
25.983,1,58.4,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6991.7,11.5%
26.782,1,58.4,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6936.2,12.2%
27.612,1,59.4,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7097.5,10.1%
28.365,1,59.9,99.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6961.6,11.9%
29.82,1,60.3,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7184.3,9.0%
29.932,1,58.9,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7165.1,9.3%
30.612,1,58.4,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6749.5,14.5%
31.363,1,59.9,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7104.9,10.0%
32.112,1,59.9,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7043.7,10.8%
32.702,1,59.9,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6828.2,13.5%
33.512,1,60.3,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6868.9,13.0%
34.233,1,60.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6905.1,12.6%
35.53,1,60.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6988.3,11.5%
35.793,1,59.9,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7088.2,10.3%
36.553,1,61.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7043.6,10.8%
37.253,1,60.3,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6995.2,11.4%
37.973,1,59.9,100.0%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,6949.6,12.0%
38.812,1,61.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6976.3,11.7%
39.603,1,61.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6979.5,11.6%
40.382,1,59.9,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6975.1,11.7%
41.292,1,61.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7002.4,11.3%
