Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,39.4,13.8%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7118.4,9.9%
0.710,1,43.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6873.3,13.0%
1.479,1,44.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6932.6,12.2%
2.130,1,44.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6990.7,11.5%
2.859,1,46.2,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6974.9,11.7%
3.739,1,46.7,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6990.2,11.5%
4.529,1,48.2,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6723.8,14.9%
5.269,1,48.2,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7071.7,10.5%
6.149,1,49.1,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6766.9,14.3%
6.950,1,49.1,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7125.8,9.8%
7.750,1,50.6,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6596.2,16.5%
8.570,1,49.1,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7183.6,9.0%
9.390,1,50.6,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6932.7,12.2%
10.190,1,51.1,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7235.4,8.4%
10.1000,1,50.6,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6755.2,14.5%
11.762,1,52.1,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7100.1,10.1%
12.570,1,51.6,100.0%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,6808.1,13.8%
13.420,1,52.1,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7096.1,10.2%
14.250,1,52.1,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6827.0,13.6%
15.110,1,53.0,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7102.9,10.1%
