Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,43.8,10.1%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7142.1,9.6%
0.729,1,46.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6700.3,15.2%
1.449,1,48.7,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7237.1,8.4%
2.289,1,49.1,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6716.4,15.0%
3.69,1,49.6,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7021.8,11.1%
3.869,1,50.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6907.2,12.5%
4.561,1,51.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6791.7,14.0%
5.249,1,52.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7116.7,9.9%
6.29,1,52.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6946.4,12.1%
6.729,1,52.5,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7020.9,11.1%
7.209,1,53.0,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6980.9,11.6%
8.79,1,54.0,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7192.3,8.9%
8.889,1,54.5,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6737.9,14.7%
9.619,1,54.5,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7113.9,9.9%
10.359,1,55.5,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6826.3,13.6%
11.239,1,56.4,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6984.9,11.6%
11.969,1,55.0,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7182.6,9.1%
12.661,1,54.5,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6853.1,13.2%
13.399,1,56.9,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7175.7,9.1%
14.218,1,56.4,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7001.8,11.4%
14.979,1,56.9,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6814.7,13.7%
15.719,1,56.9,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7173.0,9.2%
16.499,1,57.4,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6900.1,12.6%
17.319,1,57.9,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6994.1,11.4%
18.68,1,57.4,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6855.0,13.2%
18.798,1,56.4,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7090.8,10.2%
19.619,1,57.9,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6923.2,12.3%
20.479,1,58.9,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6949.1,12.0%
21.329,1,58.9,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6957.0,11.9%
22.179,1,58.4,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6934.5,12.2%
22.999,1,58.4,100.0%,0,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7137.7,9.6%
23.829,1,57.9,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6975.9,11.7%
24.669,1,58.9,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7001.7,11.4%
25.509,1,59.9,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6862.1,13.1%
26.279,1,58.9,99.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6756.2,14.5%
26.999,1,59.4,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7133.0,9.7%
27.699,1,59.9,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6922.0,12.4%
28.419,1,58.9,100.0%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7204.2,8.8%
29.199,1,59.4,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6950.4,12.0%
29.969,1,59.4,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6969.8,11.8%
30.779,1,59.9,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7038.5,10.9%
31.608,1,58.4,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6748.8,14.6%
32.249,1,60.3,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7122.4,9.8%
32.879,1,59.9,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6891.9,12.7%
33.639,1,60.3,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6951.5,12.0%
34.419,1,60.8,100.0%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7137.5,9.6%
