Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,43.3,7.4%,0,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7474.8,5.4%
0.228,1,43.3,22.0%,0,700207040,500000992,0.9160,1.1000,1.1000,1.1000,7472.2,5.4%
0.474,1,43.3,15.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7469.1,5.4%
0.656,1,45.2,17.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7466.3,5.5%
0.836,1,43.8,14.1%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7463.5,5.5%
1.17,1,44.8,13.7%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7461.4,5.5%
1.250,1,44.3,18.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7459.6,5.6%
1.490,1,43.8,15.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.9,5.6%
1.672,1,44.8,18.4%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7458.7,5.6%
1.854,1,44.3,12.5%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7460.4,5.5%
2.37,1,43.8,13.0%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7462.8,5.5%
2.276,1,44.8,18.6%,0,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7465.3,5.5%
2.517,1,43.8,16.9%,0,1000265600,299768544,0.8500,1.1000,1.1000,1.1000,7466.1,5.5%
2.751,1,45.2,21.4%,0,700207040,499987808,0.9160,1.1000,1.1000,1.1000,7467.2,5.5%
2.994,1,44.3,15.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7468.4,5.4%
3.176,1,45.7,15.1%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7468.6,5.4%
3.357,1,44.3,12.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7467.1,5.5%
3.538,1,44.8,14.7%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7466.5,5.5%
3.770,1,45.2,16.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7464.6,5.5%
4.7,1,44.3,17.7%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7463.1,5.5%
4.189,1,45.2,13.9%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7461.1,5.5%
4.370,1,45.7,16.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.9,5.6%
4.552,1,45.7,17.5%,0,900175808,274680160,0.8500,1.1000,1.1000,1.1000,7458.4,5.6%
4.783,1,44.8,17.6%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7459.4,5.6%
5.15,1,45.2,14.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7460.6,5.5%
5.196,1,44.8,11.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7462.1,5.5%
5.378,1,45.7,12.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7463.4,5.5%
5.560,1,44.8,16.2%,0,800244160,249987312,0.8500,1.1000,1.1000,1.1000,7462.5,5.5%
5.800,1,44.8,17.8%,0,1100249984,324883296,0.8500,1.1000,1.1000,1.1000,7459.9,5.6%
6.43,1,44.8,15.6%,0,900228544,274680160,0.8500,1.1000,1.1000,1.1000,7458.0,5.6%
6.286,1,45.2,19.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.1,5.6%
6.522,1,44.8,15.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7454.5,5.6%
6.704,1,44.3,16.2%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7454.0,5.6%
6.885,1,45.7,12.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7454.5,5.6%
7.68,1,44.8,17.3%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7454.7,5.6%
7.308,1,45.7,17.2%,0,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7454.2,5.6%
7.546,1,45.2,19.4%,0,900228544,274680160,0.8500,1.1000,1.1000,1.1000,7454.4,5.6%
7.794,1,44.3,17.5%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7454.8,5.6%
8.30,1,44.8,13.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7454.2,5.6%
8.211,1,45.2,15.1%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7453.7,5.6%
8.393,1,46.2,12.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7453.4,5.6%
8.575,1,45.2,18.3%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7453.5,5.6%
8.813,1,44.8,18.2%,0,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7453.6,5.6%
9.51,1,44.3,18.5%,0,1000265600,299755360,0.8500,1.1000,1.1000,1.1000,7453.8,5.6%
9.290,1,45.2,20.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7453.1,5.6%
9.531,1,44.8,15.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7452.9,5.6%
9.713,1,45.2,12.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7453.0,5.6%
9.893,1,45.7,13.9%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7453.0,5.6%
10.75,1,45.7,13.3%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7453.2,5.6%
10.311,1,45.2,18.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7452.7,5.6%
10.544,1,45.7,13.5%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7452.3,5.6%
10.725,1,46.2,13.9%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7452.6,5.6%
10.906,1,45.7,13.9%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7452.1,5.7%
11.89,1,45.7,19.0%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7452.3,5.6%
11.327,1,45.2,19.8%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7452.1,5.7%
11.549,1,45.7,12.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7451.6,5.7%
11.731,1,45.2,15.1%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7451.8,5.7%
11.913,1,45.7,11.4%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7451.9,5.7%
12.94,1,46.2,14.1%,0,900175808,274680160,0.8500,1.1000,1.1000,1.1000,7452.5,5.6%
