Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,35.0,4.1%,0,1000212864,299768544,0.8600,1.1000,1.1000,1.1000,7479.0,5.3%
0.246,1,35.0,17.3%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7476.0,5.3%
0.483,1,36.0,12.3%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7473.1,5.4%
0.665,1,36.0,11.3%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7470.2,5.4%
0.849,1,36.0,13.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7467.4,5.5%
1.31,1,35.5,12.5%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7464.6,5.5%
1.276,1,36.0,17.3%,0,1200287104,349734368,0.8600,1.1000,1.1000,1.1000,7461.9,5.5%
1.516,1,35.5,14.9%,0,900228544,274667008,0.8600,1.1000,1.1000,1.1000,7461.1,5.5%
1.755,1,34.5,17.9%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7460.4,5.5%
1.992,1,35.5,14.5%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7459.3,5.6%
2.174,1,35.5,13.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7458.2,5.6%
2.357,1,35.5,13.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7457.7,5.6%
2.540,1,35.0,12.7%,0,800191424,250000496,0.8600,1.1000,1.1000,1.1000,7458.0,5.6%
2.782,1,35.0,18.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7457.9,5.6%
3.10,1,36.0,12.5%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7457.6,5.6%
3.193,1,35.0,13.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7457.3,5.6%
3.376,1,36.0,14.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7457.2,5.6%
