Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,41.8,23.1%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7084.9,10.3%
0.636,1,44.8,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6844.6,13.3%
1.426,1,44.8,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6891.5,12.7%
2.226,1,46.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6958.2,11.9%
3.6,1,47.2,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6975.7,11.7%
3.836,1,47.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7242.7,8.3%
4.686,1,48.2,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6776.8,14.2%
5.436,1,48.2,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7275.0,7.9%
6.286,1,49.6,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6741.5,14.6%
7.116,1,48.7,100.0%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7356.5,6.9%
7.826,1,49.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6855.0,13.2%
8.635,1,48.7,99.7%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7024.8,11.1%
9.426,1,50.1,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6869.6,13.0%
10.216,1,49.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6910.2,12.5%
11.106,1,49.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6907.6,12.5%
11.926,1,50.1,99.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6877.8,12.9%
12.796,1,49.6,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6927.2,12.3%
13.596,1,50.1,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6917.6,12.4%
14.366,1,51.1,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7133.9,9.7%
15.146,1,49.6,100.0%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7163.0,9.3%
15.836,1,51.6,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6945.1,12.1%
16.636,1,50.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6851.4,13.3%
17.226,1,51.6,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7060.0,10.6%
17.976,1,50.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6866.6,13.1%
18.766,1,51.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7241.7,8.3%
19.636,1,50.6,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6825.1,13.6%
20.346,1,51.1,100.0%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,6899.3,12.6%
21.16,1,51.1,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6940.3,12.1%
21.766,1,51.6,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6967.6,11.8%
22.499,1,52.1,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7246.9,8.2%
23.306,1,51.6,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6994.2,11.4%
24.86,1,50.6,100.0%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,6964.5,11.8%
24.926,1,51.6,100.0%,0,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,6930.3,12.3%
25.806,1,52.5,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7008.6,11.3%
26.696,1,52.1,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6910.6,12.5%
27.576,1,50.6,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6916.5,12.4%
28.435,1,51.6,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6891.1,12.8%
29.316,1,51.6,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6675.4,15.5%
30.76,1,51.6,100.0%,0,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7110.1,10.0%
30.906,1,53.0,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,6754.8,14.5%
31.706,1,52.5,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7200.4,8.8%
32.516,1,51.6,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6824.3,13.6%
33.366,1,52.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7221.9,8.6%
34.256,1,53.5,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6759.0,14.4%
35.106,1,53.5,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7040.6,10.9%
35.966,1,52.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6778.1,14.2%
36.796,1,52.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7116.0,9.9%
37.556,1,53.0,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6871.6,13.0%
38.386,1,51.1,100.0%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7159.0,9.4%
39.195,1,52.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6906.0,12.6%
39.936,1,52.5,100.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7204.6,8.8%
40.736,1,53.0,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6949.8,12.0%
41.546,1,52.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7009.7,11.3%
42.288,1,53.5,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7022.5,11.1%
43.56,1,52.5,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6846.3,13.3%
43.815,1,52.1,100.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,6988.9,11.5%
