Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,31.6,7.1%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7213.1,8.7%
0.604,1,35.5,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6699.1,15.2%
1.413,1,36.5,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7278.7,7.8%
2.194,1,36.0,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6856.8,13.2%
3.14,1,37.0,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7069.6,10.5%
3.804,1,38.4,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6863.4,13.1%
4.644,1,39.9,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6904.1,12.6%
5.424,1,39.4,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6970.8,11.7%
6.164,1,40.4,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6763.6,14.4%
6.983,1,39.9,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6979.6,11.6%
7.803,1,39.9,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6979.6,11.6%
8.644,1,40.9,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7043.1,10.8%
9.564,1,41.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6835.1,13.5%
10.204,1,40.9,100.0%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,7044.5,10.8%
10.786,1,40.4,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6864.7,13.1%
11.534,1,41.8,99.7%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6956.8,11.9%
12.383,1,41.8,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7022.2,11.1%
13.164,1,41.8,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7048.8,10.8%
13.964,1,42.3,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7112.8,9.9%
14.773,1,42.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6913.2,12.5%
15.544,1,40.9,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6700.4,15.2%
16.324,1,42.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6959.8,11.9%
17.193,1,41.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6852.7,13.2%
18.24,1,42.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6980.9,11.6%
18.864,1,41.8,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7078.5,10.4%
19.615,1,41.8,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6949.2,12.0%
20.403,1,41.8,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6869.9,13.0%
21.194,1,42.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7081.2,10.3%
21.984,1,43.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6863.9,13.1%
22.773,1,43.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6918.8,12.4%
23.623,1,42.8,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6995.9,11.4%
24.403,1,43.8,100.0%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,6984.9,11.6%
25.74,1,44.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6764.2,14.4%
25.804,1,42.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7055.1,10.7%
26.594,1,43.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6995.3,11.4%
27.494,1,44.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6878.2,12.9%
28.173,1,43.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6961.8,11.9%
28.934,1,43.3,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6973.1,11.7%
29.774,1,43.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6999.5,11.4%
30.594,1,43.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6989.3,11.5%
31.423,1,43.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7144.0,9.6%
32.264,1,44.3,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6876.7,12.9%
33.23,1,44.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6901.2,12.6%
33.734,1,43.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6908.8,12.5%
34.633,1,44.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6929.4,12.3%
35.504,1,43.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6947.2,12.0%
36.383,1,44.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7037.3,10.9%
37.153,1,43.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7071.0,10.5%
37.963,1,44.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7016.2,11.2%
38.734,1,45.2,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6906.9,12.6%
39.554,1,44.3,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6949.6,12.0%
40.353,1,44.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6943.9,12.1%
41.184,1,44.8,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6942.0,12.1%
42.44,1,44.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7133.4,9.7%
42.944,1,45.7,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6898.6,12.7%
43.723,1,45.2,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7394.0,6.4%
44.584,1,44.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6966.5,11.8%
45.333,1,44.3,100.0%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,6754.6,14.5%
46.74,1,45.2,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7012.1,11.2%
46.872,1,45.7,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6926.8,12.3%
