Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,37.9,7.2%,0,1100249984,324870112,0.8500,1.1000,1.1000,1.1000,7473.6,5.4%
0.242,1,38.4,15.2%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7470.4,5.4%
0.493,1,38.4,16.0%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7467.3,5.5%
0.673,1,39.9,12.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7465.1,5.5%
0.854,1,39.9,11.3%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7463.0,5.5%
1.36,1,40.4,12.2%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7463.5,5.5%
1.267,1,37.9,18.6%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7462.7,5.5%
1.515,1,40.4,12.2%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7461.5,5.5%
1.696,1,38.9,11.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7461.0,5.5%
1.877,1,38.4,13.7%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7461.0,5.5%
2.58,1,40.4,13.2%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7460.8,5.5%
2.291,1,38.9,20.2%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7460.2,5.5%
2.539,1,37.9,12.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7459.6,5.6%
2.720,1,39.9,13.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.6,5.6%
2.901,1,39.4,12.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.1,5.6%
3.82,1,38.9,13.2%,0,800244160,250000496,0.8500,1.1000,1.1000,1.1000,7457.1,5.6%
3.318,1,39.9,19.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.5,5.6%
3.557,1,40.4,14.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.3,5.6%
3.738,1,39.4,12.5%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7458.7,5.6%
3.919,1,40.4,12.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.6,5.6%
4.101,1,40.9,14.3%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7458.9,5.6%
4.336,1,40.4,16.0%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7459.5,5.6%
4.576,1,39.9,13.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7459.5,5.6%
4.757,1,39.4,13.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7459.8,5.6%
4.939,1,40.4,13.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7459.8,5.6%
5.121,1,38.9,13.0%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7459.7,5.6%
5.357,1,39.9,17.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7459.7,5.6%
5.589,1,39.9,14.7%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7459.5,5.6%
5.770,1,39.4,14.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7459.5,5.6%
5.952,1,39.4,12.5%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7459.5,5.6%
6.134,1,39.9,13.9%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7459.3,5.6%
6.372,1,39.9,17.0%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7459.2,5.6%
6.607,1,40.4,12.2%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7459.2,5.6%
6.789,1,40.9,13.7%,0,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7458.8,5.6%
6.971,1,40.9,12.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.8,5.6%
7.152,1,39.9,13.0%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7458.7,5.6%
7.390,1,40.4,16.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.4,5.6%
7.621,1,40.4,12.3%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7459.4,5.6%
7.803,1,40.4,12.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7460.1,5.5%
7.984,1,39.9,12.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7459.5,5.6%
8.165,1,40.4,12.8%,0,800244160,250000496,0.8500,1.1000,1.1000,1.1000,7458.7,5.6%
8.402,1,38.9,19.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.7,5.6%
8.637,1,39.9,12.2%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7456.6,5.6%
8.818,1,40.9,12.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.8,5.6%
8.999,1,39.4,15.1%,0,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7455.4,5.6%
9.180,1,40.4,13.9%,0,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7455.0,5.6%
9.417,1,40.4,18.5%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.1,5.6%
9.657,1,40.4,15.4%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7454.9,5.6%
9.839,1,39.9,14.9%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7455.0,5.6%
10.20,1,39.9,13.7%,0,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7454.6,5.6%
