Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,37.9,17.4%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7072.8,10.5%
0.727,1,40.9,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6855.6,13.2%
1.516,1,41.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7155.6,9.4%
2.337,1,42.8,100.0%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,6894.6,12.7%
3.197,1,43.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7056.7,10.7%
4.36,1,44.3,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6927.4,12.3%
4.886,1,44.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6897.8,12.7%
5.737,1,44.8,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7231.3,8.4%
6.427,1,44.8,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6910.3,12.5%
7.238,1,45.2,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6950.0,12.0%
8.67,1,46.2,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7002.3,11.3%
8.887,1,47.2,100.0%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,7038.0,10.9%
9.697,1,46.7,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7021.0,11.1%
10.506,1,47.2,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7012.8,11.2%
11.326,1,47.7,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6821.1,13.6%
12.107,1,47.7,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7166.6,9.3%
12.927,1,47.7,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,6687.9,15.3%
13.696,1,47.7,100.0%,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000,6991.3,11.5%
14.537,1,48.2,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6743.3,14.6%
15.367,1,48.7,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7107.3,10.0%
16.136,1,47.7,100.0%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,6998.9,11.4%
16.837,1,49.1,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7099.3,10.1%
17.636,1,48.2,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7106.7,10.0%
18.506,1,49.1,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7154.8,9.4%
19.297,1,48.2,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7195.2,8.9%
20.97,1,48.7,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6779.8,14.2%
20.977,1,49.6,100.0%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,6975.2,11.7%
21.757,1,50.1,100.0%,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000,6750.0,14.5%
22.607,1,49.1,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,6989.5,11.5%
23.176,1,49.6,100.0%,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000,7020.1,11.1%
23.977,1,49.6,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7079.9,10.4%
24.767,1,51.1,100.0%,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000,7090.1,10.2%
