Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (%)
0.0,1,40.9,6.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7478.4,5.3%
0.229,1,40.9,13.2%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7478.4,5.3%
0.411,1,40.9,12.5%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7477.8,5.3%
0.593,1,40.9,16.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7476.4,5.3%
0.776,1,41.8,13.0%,50000,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7473.5,5.4%
1.14,1,39.9,18.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7470.2,5.4%
1.247,1,40.4,12.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7466.9,5.5%
1.429,1,40.4,13.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7464.4,5.5%
1.612,1,41.8,11.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7461.7,5.5%
1.794,1,40.9,13.6%,50000,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7459.2,5.6%
2.40,1,40.4,15.3%,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7459.6,5.6%
2.272,1,41.3,16.3%,50000,900228544,274680160,0.8500,1.1000,1.1000,1.1000,7459.5,5.6%
2.520,1,40.9,17.9%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.8,5.6%
2.756,1,41.3,15.6%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7458.9,5.6%
2.940,1,40.9,12.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.9,5.6%
3.123,1,40.9,13.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.7,5.6%
3.305,1,40.9,15.3%,50000,800244160,250000496,0.9160,1.1000,1.1000,1.1000,7458.9,5.6%
3.541,1,41.8,16.9%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7458.5,5.6%
3.724,1,41.3,14.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.3,5.6%
3.906,1,41.3,12.5%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.2,5.6%
4.89,1,40.9,14.5%,50000,800191424,250000496,0.8500,1.1000,1.1000,1.1000,7458.4,5.6%
4.323,1,40.9,19.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.4,5.6%
4.571,1,40.9,11.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7458.4,5.6%
4.754,1,41.3,13.5%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.7,5.6%
4.937,1,41.3,13.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.6,5.6%
5.121,1,42.3,13.7%,50000,800191424,249987312,0.8500,1.1000,1.1000,1.1000,7458.2,5.6%
5.362,1,41.8,17.8%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.8,5.6%
5.591,1,40.9,12.5%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7458.3,5.6%
5.773,1,41.8,14.9%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7457.4,5.6%
5.956,1,41.3,12.5%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7457.6,5.6%
6.140,1,41.3,16.9%,50000,800191424,500000992,0.9160,1.1000,1.1000,1.1000,7457.2,5.6%
6.375,1,42.3,16.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7456.8,5.6%
6.558,1,42.3,12.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7457.1,5.6%
